,steps,reward1,reward2,reward3
426,85400.0,5.5,11.75,11.5
427,85600.0,2.0,10.0,10.0
428,85800.0,7.000000000000001,13.5,10.25
429,86000.0,2.25,11.75,10.25
430,86200.0,2.25,10.25,11.5
431,86400.0,3.75,12.0,10.0
432,86600.0,3.5000000000000004,11.5,11.75
433,86800.0,5.0,12.0,11.5
434,87000.0,6.75,13.25,10.0
435,87200.0,8.5,11.5,10.25
436,87400.0,5.5,11.5,11.5
437,87600.0,7.000000000000001,11.5,8.5
438,87800.0,3.75,11.75,10.0
439,88000.0,2.25,12.0,10.0
440,88200.0,5.5,13.25,10.0
441,88400.0,5.5,11.5,11.5
442,88600.0,6.75,11.75,11.5
443,88800.0,2.25,13.25,11.75
444,89000.0,2.0,11.75,11.75
445,89200.0,1.7500000000000002,11.75,10.25
446,89400.0,5.25,11.5,11.5
447,89600.0,5.25,11.5,11.75
448,89800.0,3.5000000000000004,11.75,11.5
449,90000.0,3.75,8.5,11.75
450,90200.0,0.5,12.0,10.25
451,90400.0,3.75,11.75,10.25
452,90600.0,3.75,11.5,8.75
453,90800.0,0.25,10.25,11.75
454,91000.0,5.0,11.75,11.75
455,91200.0,2.25,10.25,11.75
456,91400.0,2.0,12.0,8.75
457,91600.0,3.5000000000000004,12.0,10.0
458,91800.0,3.5000000000000004,11.75,8.75
459,92000.0,0.5,10.0,11.5
460,92200.0,5.25,11.5,8.25
461,92400.0,3.5000000000000004,11.75,11.75
462,92600.0,5.5,10.25,11.5
463,92800.0,5.0,13.25,11.5
464,93000.0,5.5,11.75,10.0
465,93200.0,3.75,10.0,8.5
466,93400.0,8.5,11.75,11.75
467,93600.0,5.5,11.75,11.75
468,93800.0,3.75,13.5,10.0
469,94000.0,1.7500000000000002,11.75,10.25
470,94200.0,6.75,11.75,8.75
471,94400.0,5.0,11.75,11.5
472,94600.0,3.75,13.25,10.0
473,94800.0,2.25,12.0,11.5
474,95000.0,5.0,11.75,10.25
475,95200.0,3.5000000000000004,11.75,10.25
476,95400.0,8.25,12.0,10.25
477,95600.0,1.7500000000000002,13.25,11.5
478,95800.0,2.25,11.75,10.25
479,96000.0,2.25,12.0,10.0
480,96200.0,5.5,11.5,11.75
481,96400.0,2.25,11.5,11.5
482,96600.0,6.75,10.0,10.25
483,96800.0,3.5000000000000004,11.75,11.5
484,97000.0,5.25,11.75,11.75
485,97200.0,1.7500000000000002,11.75,8.5
486,97400.0,2.0,12.0,10.0
487,97600.0,3.5000000000000004,11.75,10.25
488,97800.0,3.5000000000000004,11.75,10.0
489,98000.0,3.5000000000000004,11.75,11.5
490,98200.0,3.5000000000000004,13.25,8.75
491,98400.0,5.0,11.75,11.75
492,98600.0,5.0,11.75,11.5
493,98800.0,3.5000000000000004,11.75,10.0
494,99000.0,5.0,11.5,10.25
495,99200.0,5.5,13.25,10.25
496,99400.0,2.0,11.75,10.0
497,99600.0,2.25,12.0,10.25
498,99800.0,8.75,11.75,11.75
499,100000.0,5.25,11.75,11.5
500,100200.0,6.75,11.5,11.75
501,100400.0,5.25,10.25,11.5
502,100600.0,5.5,11.75,10.25
503,100800.0,2.0,12.0,10.25
504,101000.0,3.75,11.5,8.75
505,101200.0,10.0,13.25,11.75
506,101400.0,8.5,8.75,11.5
507,101600.0,3.5000000000000004,11.75,10.25
508,101800.0,5.25,12.0,11.75
509,102000.0,7.000000000000001,10.0,10.0
510,102200.0,2.25,12.0,11.5
511,102400.0,5.25,11.5,10.25
512,102600.0,2.0,12.0,10.25
513,102800.0,5.0,12.0,10.0
514,103000.0,5.25,13.25,10.25
515,103200.0,6.75,11.5,11.5
516,103400.0,3.75,12.0,11.5
517,103600.0,3.75,10.0,10.0
518,103800.0,3.5000000000000004,13.25,11.5
519,104000.0,3.75,11.5,11.5
520,104200.0,3.75,11.75,10.25
521,104400.0,5.25,11.75,11.5
522,104600.0,8.5,11.5,10.0
523,104800.0,3.5000000000000004,13.5,11.5
524,105000.0,1.7500000000000002,11.75,10.25
525,105200.0,5.5,10.25,11.75
526,105400.0,5.5,10.25,11.5
527,105600.0,3.75,11.75,11.5
528,105800.0,1.7500000000000002,11.75,10.0
529,106000.0,2.25,11.5,8.75
530,106200.0,2.0,11.75,11.5
531,106400.0,5.25,11.5,11.5
532,106600.0,3.75,11.5,11.5
533,106800.0,5.25,13.25,8.75
534,107000.0,3.75,13.25,10.0
535,107200.0,3.5000000000000004,10.0,10.25
536,107400.0,6.75,13.25,10.25
537,107600.0,5.0,13.25,10.0
538,107800.0,2.0,11.5,11.5
539,108000.0,5.5,11.75,10.25
540,108200.0,5.25,11.5,10.0
541,108400.0,3.5000000000000004,11.75,10.0
542,108600.0,1.7500000000000002,10.0,11.5
543,108800.0,5.0,11.75,10.25
544,109000.0,1.7500000000000002,11.75,11.5
545,109200.0,0.5,12.0,11.5
546,109400.0,10.25,10.25,11.5
547,109600.0,5.0,12.0,8.75
548,109800.0,2.0,11.5,11.5
549,110000.0,5.0,11.75,11.75
550,110200.0,8.75,11.5,10.25
551,110400.0,5.5,12.0,11.5
552,110600.0,3.5000000000000004,13.5,10.25
553,110800.0,5.5,11.5,11.5
554,111000.0,2.25,12.0,10.0
555,111200.0,8.25,11.5,11.5
556,111400.0,2.25,12.0,10.25
557,111600.0,5.25,10.25,11.5
558,111800.0,3.75,11.5,11.5
559,112000.0,5.25,11.75,10.25
560,112200.0,5.25,10.25,11.75
561,112400.0,5.25,11.75,11.75
562,112600.0,3.5000000000000004,11.5,11.5
563,112800.0,7.000000000000001,10.25,10.0
564,113000.0,5.25,13.25,11.5
565,113200.0,5.5,12.0,10.25
566,113400.0,3.5000000000000004,11.5,11.75
567,113600.0,3.75,11.5,11.5
568,113800.0,3.5000000000000004,11.75,10.25
569,114000.0,3.5000000000000004,10.0,11.5
570,114200.0,1.7500000000000002,10.25,11.5
571,114400.0,7.000000000000001,11.75,10.0
572,114600.0,2.25,11.75,10.0
573,114800.0,1.7500000000000002,11.75,8.75
574,115000.0,3.75,11.5,10.25
575,115200.0,2.25,11.5,10.25
576,115400.0,1.7500000000000002,12.0,11.5
577,115600.0,5.5,11.75,11.5
578,115800.0,1.7500000000000002,11.5,10.25
579,116000.0,5.0,10.0,10.0
580,116200.0,5.0,11.5,10.25
581,116400.0,5.25,12.0,10.0
582,116600.0,2.0,10.25,11.5
583,116800.0,1.7500000000000002,12.0,10.0
584,117000.0,5.25,12.0,10.0
585,117200.0,5.25,11.5,11.75
586,117400.0,5.5,11.5,10.25
587,117600.0,7.000000000000001,13.5,11.75
588,117800.0,2.0,11.75,10.25
589,118000.0,7.000000000000001,11.5,11.5
590,118200.0,2.25,11.5,10.25
591,118400.0,1.7500000000000002,8.75,10.25
592,118600.0,3.75,12.0,10.0
593,118800.0,7.000000000000001,11.75,11.75
594,119000.0,8.25,10.25,8.75
595,119200.0,3.5000000000000004,12.0,10.0
596,119400.0,2.0,13.5,10.25
597,119600.0,5.0,11.75,11.5
598,119800.0,5.0,11.75,10.25
599,120000.0,8.25,13.25,10.25
600,120200.0,2.0,11.5,11.5
601,120400.0,5.0,11.75,10.0
602,120600.0,5.0,11.75,10.25
603,120800.0,3.75,11.75,11.5
604,121000.0,2.25,11.75,11.75
605,121200.0,5.25,12.0,10.0
606,121400.0,5.0,10.25,10.0
607,121600.0,3.75,10.25,10.0
608,121800.0,5.0,10.0,8.75
609,122000.0,5.25,10.25,10.25
610,122200.0,5.5,11.5,10.25
611,122400.0,3.5000000000000004,11.5,11.75
612,122600.0,2.0,13.25,10.25
613,122800.0,5.0,11.5,11.5
614,123000.0,5.25,13.25,11.5
